\textexclamdown,¡
\upuparrows,⇈
\rightrightarrows,⇉
\downdownarrows,⇊
\leftrightharpoons,⇋
\rightleftharpoons,⇌
\nLeftarrow,⇍
\nLeftrightarrow,⇎
\nRightarrow,⇏
\Leftarrow,⇐
\Uparrow,⇑
\Rightarrow,⇒
\Downarrow,⇓
\Leftrightarrow,⇔
\Updownarrow,⇕
\Lleftarrow,⇚
\Rrightarrow,⇛
\rightsquigarrow,⇝
\DownArrowUpArrow,⇵
\forall,∀
\complement,∁
\partial,∂
\exists,∃
\nexists,∄
\varnothing,∅
\nabla,∇
\in,∈
\not\in,∉
\ni,∋
\not\ni,∌
\prod,∏
\coprod,∐
\sum,∑
\mp,∓
\dotplus,∔
\setminus,∖
\circ,∘
\bullet,∙
\surd,√
\propto,∝
\infty,∞
\rightangle,∟
\angle,∠
\measuredangle,∡
\sphericalangle,∢
\mid,∣
\nmid,∤
\parallel,∥
\nparallel,∦
\wedge,∧
\vee,∨
\cap,∩
\cup,∪
\int,∫
\int\!\int,∬
\int\!\int\!\int,∭
\oint,∮
\surfintegral,∯
\volintegral,∰
\clwintegral,∱
\ElsevierGlyph{2232},∲
\ElsevierGlyph{2233},∳
\therefore,∴
\because,∵
\Colon,∷
\ElsevierGlyph{2238},∸
\mathbin{{:}\!\!{-}\!\!{:}},∺
\homothetic,∻
\sim,∼
\backsim,∽
\lazysinv,∾
\wr,≀
\not\sim,≁
\ElsevierGlyph{2242},≂
\simeq,≃
\not\simeq,≄
\cong,≅
\approxnotequal,≆
\not\cong,≇
\approx,≈
\not\approx,≉
\approxeq,≊
\tildetrpl,≋
\allequal,≌
\asymp,≍
\Bumpeq,≎
\bumpeq,≏
\doteq,≐
\doteqdot,≑
\fallingdotseq,≒
\risingdotseq,≓
\eqcirc,≖
\circeq,≗
\estimates,≙
\ElsevierGlyph{225A},≚
\starequal,≛
\triangleq,≜
\ElsevierGlyph{225F},≟
\not =,≠
\equiv,≡
\not\equiv,≢
\leq,≤
\geq,≥
\leqq,≦
\geqq,≧
\lneqq,≨
\gneqq,≩
\ll,≪
\gg,≫
\between,≬
\not\kern-0.3em\times,≭
\not<,≮
\not>,≯
\not\leq,≰
\not\geq,≱
\lessequivlnt,≲
\greaterequivlnt,≳
\ElsevierGlyph{2274},≴
\ElsevierGlyph{2275},≵
\lessgtr,≶
\gtrless,≷
\notlessgreater,≸
\notgreaterless,≹
\prec,≺
\succ,≻
\preccurlyeq,≼
\succcurlyeq,≽
\precapprox,≾
\succapprox,≿
\not\prec,⊀
\not\succ,⊁
\subset,⊂
\supset,⊃
\not\subset,⊄
\not\supset,⊅
\subseteq,⊆
\supseteq,⊇
\not\subseteq,⊈
\not\supseteq,⊉
\subsetneq,⊊
\supsetneq,⊋
\uplus,⊎
\sqsubset,⊏
\sqsupset,⊐
\sqsubseteq,⊑
\sqsupseteq,⊒
\sqcap,⊓
\sqcup,⊔
\oplus,⊕
\ominus,⊖
\otimes,⊗
\oslash,⊘
\odot,⊙
\circledcirc,⊚
\circledast,⊛
\circleddash,⊝
\boxplus,⊞
\boxminus,⊟
\boxtimes,⊠
\boxdot,⊡
\vdash,⊢
\dashv,⊣
\top,⊤
\perp,⊥
\truestate,⊧
\forcesextra,⊨
\Vdash,⊩
\Vvdash,⊪
\VDash,⊫
\nvdash,⊬
\nvDash,⊭
\nVdash,⊮
\nVDash,⊯
\vartriangleleft,⊲
\vartriangleright,⊳
\trianglelefteq,⊴
\trianglerighteq,⊵
\original,⊶
\image,⊷
\multimap,⊸
\hermitconjmatrix,⊹
\intercal,⊺
\veebar,⊻
\rightanglearc,⊾
\ElsevierGlyph{22C0},⋀
\ElsevierGlyph{22C1},⋁
\bigcap,⋂
\bigcup,⋃
\diamond,⋄
\star,⋆
\divideontimes,⋇
\bowtie,⋈
\ltimes,⋉
\rtimes,⋊
\leftthreetimes,⋋
\rightthreetimes,⋌
\backsimeq,⋍
\curlyvee,⋎
\curlywedge,⋏
\Subset,⋐
\Supset,⋑
\Cap,⋒
\Cup,⋓
\pitchfork,⋔
\lessdot,⋖
\gtrdot,⋗
\verymuchless,⋘
\verymuchgreater,⋙
\lesseqgtr,⋚
\gtreqless,⋛
\curlyeqprec,⋞
\curlyeqsucc,⋟
\not\sqsubseteq,⋢
\not\sqsupseteq,⋣
\Elzsqspne,⋥
\lnsim,⋦
\gnsim,⋧
\precedesnotsimilar,⋨
\succnsim,⋩
\ntriangleleft,⋪
\ntriangleright,⋫
\ntrianglelefteq,⋬
\ntrianglerighteq,⋭
\vdots,⋮
\cdots,⋯
\upslopeellipsis,⋰
\downslopeellipsis,⋱
\barwedge,⌅
